ID,DayClassification,DayClassificationID
1401,Weekday,1401
1402,Weekday,1402
1403,Weekday,1403
1404,Weekday,1404
1405,Weekday,1405
1406,Weekday,1406
1407,Weekday,1407
1408,Weekday,1408
1409,Weekday,1409
1410,Weekday,1410
1411,Weekday,1411
1412,Weekday,1412
1413,Weekday,1413
1414,Weekday,1414
1415,Weekday,1415
1416,Weekday,1416
1417,Weekday,1417
1418,Weekday,1418
1419,Weekday,1419
1420,Weekday,1420
1421,Weekday,1421
1422,Weekday,1422
1423,Weekday,1423
1424,Weekend,1424
1425,Weekend,1425
1426,Weekend,1426
1427,Weekend,1427
1428,Weekday,1428
1429,Weekday,1429
1430,Weekday,1430
1431,Weekday,1431
1432,Weekday,1432
1433,Weekday,1433
1434,Weekday,1434
1435,Weekday,1435
1436,Weekday,1436
1437,Weekday,1437
1438,Weekday,1438
1439,Weekday,1439
1440,Weekday,1440
1441,Weekday,1441
1442,Weekday,1442
1443,Weekend,1443
